Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Montgomery P., Grant S., Mayo-Wilson E., Macdonald G., Michie S., Hopewell S., Moher D., Lawrence Aber J., Altman D., Bhui K., Booth A., Clark D., Craig P., Eisner M., Sherman L., Fraser M.W., Gardner F., Hedges L., Hollon S., Kaplan R., Kaufmann P., Konstantopoulos S., McLeroy K., Mittman B., Nezu A., Sonuga-Barke E., Thomas J., VandenBos G., Waters E., West R., Yaffe J.","57200902403;55510972800;19337781100;23498018000;7004779970;8615807600;56350378600;57203157223;7201380947;7006102085;7201728351;57203631852;35742850500;16479643700;7202031739;7201441258;7103300087;7006567946;7004259165;55584776906;7201922484;6603276858;57204335917;7003558242;7006470014;57201020263;55574208395;7003500006;57203043912;7402395647;6508185130;","Reporting randomised trials of social and psychological interventions: The CONSORT-SPI 2018 Extension",2018,"Trials","19","1", 407,"","",,5,"10.1186/s13063-018-2733-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050762292&doi=10.1186%2fs13063-018-2733-1&partnerID=40&md5=4b1d36176ee39faf6cb03bc56823cc63","University of Birmingham, School of Social Policy, Edgbaston, Birmingham, B15 2TT, United Kingdom; RAND Corporation, Behavioral and Policy Sciences, 1776 Main Street, Santa Monica, CA  90407-2138, United States; Department of Epidemiology, 615 North Wolfe Street, E6036, Baltimore, MD  21205, United States; School for Policy Studies, 8 Priory Road, Bristol, BS8 1TZ, United Kingdom; Centre for Behaviour Change, Department of Clinical, Educational and Health Psychology, London, WC1E 7HB, United Kingdom; University of Oxford, Botnar Research Centre, Oxford Clinical Trials Research Unit, Nuffield Department of Orthopaedics, Rheumatology, and Musculoskeletal Sciences, Windmill Road, Oxford, OX3 7LD, United Kingdom; Centre for Journalology, Clinical Epidemiology Program, Ottawa, ON  K1H 8L6, Canada; Steinhardt School of Culture, Education, and Human Development, New York University, United States; UK EQUATOR Centre, Centre for Statistics in Medicine, University of Oxford, United Kingdom; Wolfson Institute of Preventive Medicine, Queen Mary University of London, United Kingdom; University of Sheffield, United Kingdom; Experimental Psychology, University of Oxford, United Kingdom; MRC/CSO Social and Public Health Sciences Unit, Institute of Health and Wellbeing, University of Glasgow, United Kingdom; Institute of Criminology, University of Cambridge, United Kingdom; School of Social Work, The University of North Carolina at Chapel Hill, United States; Department of Social Policy and Intervention, University of Oxford, United Kingdom; Institute for Policy Research, Northwestern University, United Kingdom; Psychological Sciences, Vanderbilt University, United Kingdom; Oxford Clinical Trials Research Unit, University of Oxford, United Kingdom; Department of Health Policy and Management, Fielding School of Public Health, University of California Los Angeles, United States; Behavioural Medicine and Prevention Research Group, National Heart, Lung, and Blood Institute, National Institutes of Health, United Kingdom; Department of Counselling, Educational Psychology, and Special Education, Michigan State University, United States; School for Policy Studies, University of Bristol, United Kingdom; Division of Clinical Trials and Evidence Synthesis, Department of Epidemiology, Johns Hopkins University, United States; Health Promotion and Community Health Sciences, Texas A and M University, United States; Centre for Behaviour Change, University College London, United States; Department of Research and Evaluation, Division of Health Services Research and Implementation Science, Kaiser Permanente, United States; Ottawa Hospital Research Institute, Canada; Department of Social Work and Social Care, University of Birmingham, United States; Department of Psychology, Drexel University, United States; Institute of Psychiatry, Kings College London, United States; UCL Institute of Education, University College London, United States; American Psychological Association, United States; McCaughey VicHealth Centre for Community Wellbeing, Melbourne School of Population and Global Health, University of Melbourne, Australia; Health Behaviour Research Centre, Department of Epidemiology and Public Health, United States; College of Social Work, University of Utah, United States","Montgomery, P., University of Birmingham, School of Social Policy, Edgbaston, Birmingham, B15 2TT, United Kingdom, Department of Social Work and Social Care, University of Birmingham, United States; Grant, S., RAND Corporation, Behavioral and Policy Sciences, 1776 Main Street, Santa Monica, CA  90407-2138, United States; Mayo-Wilson, E., Department of Epidemiology, 615 North Wolfe Street, E6036, Baltimore, MD  21205, United States, Division of Clinical Trials and Evidence Synthesis, Department of Epidemiology, Johns Hopkins University, United States; Macdonald, G., School for Policy Studies, 8 Priory Road, Bristol, BS8 1TZ, United Kingdom, School for Policy Studies, University of Bristol, United Kingdom; Michie, S., Centre for Behaviour Change, Department of Clinical, Educational and Health Psychology, London, WC1E 7HB, United Kingdom, Centre for Behaviour Change, University College London, United States; Hopewell, S., University of Oxford, Botnar Research Centre, Oxford Clinical Trials Research Unit, Nuffield Department of Orthopaedics, Rheumatology, and Musculoskeletal Sciences, Windmill Road, Oxford, OX3 7LD, United Kingdom, Oxford Clinical Trials Research Unit, University of Oxford, United Kingdom; Moher, D., Centre for Journalology, Clinical Epidemiology Program, Ottawa, ON  K1H 8L6, Canada, Ottawa Hospital Research Institute, Canada; Lawrence Aber, J., Steinhardt School of Culture, Education, and Human Development, New York University, United States; Altman, D., UK EQUATOR Centre, Centre for Statistics in Medicine, University of Oxford, United Kingdom; Bhui, K., Wolfson Institute of Preventive Medicine, Queen Mary University of London, United Kingdom; Booth, A., University of Sheffield, United Kingdom; Clark, D., Experimental Psychology, University of Oxford, United Kingdom; Craig, P., MRC/CSO Social and Public Health Sciences Unit, Institute of Health and Wellbeing, University of Glasgow, United Kingdom; Eisner, M., Institute of Criminology, University of Cambridge, United Kingdom; Sherman, L., Institute of Criminology, University of Cambridge, United Kingdom; Fraser, M.W., School of Social Work, The University of North Carolina at Chapel Hill, United States; Gardner, F., Department of Social Policy and Intervention, University of Oxford, United Kingdom; Hedges, L., Institute for Policy Research, Northwestern University, United Kingdom; Hollon, S., Psychological Sciences, Vanderbilt University, United Kingdom; Kaplan, R., Department of Health Policy and Management, Fielding School of Public Health, University of California Los Angeles, United States; Kaufmann, P., Behavioural Medicine and Prevention Research Group, National Heart, Lung, and Blood Institute, National Institutes of Health, United Kingdom; Konstantopoulos, S., Department of Counselling, Educational Psychology, and Special Education, Michigan State University, United States; McLeroy, K., Health Promotion and Community Health Sciences, Texas A and M University, United States; Mittman, B., Department of Research and Evaluation, Division of Health Services Research and Implementation Science, Kaiser Permanente, United States; Nezu, A., Department of Psychology, Drexel University, United States; Sonuga-Barke, E., Institute of Psychiatry, Kings College London, United States; Thomas, J., UCL Institute of Education, University College London, United States; VandenBos, G., American Psychological Association, United States; Waters, E., McCaughey VicHealth Centre for Community Wellbeing, Melbourne School of Population and Global Health, University of Melbourne, Australia; West, R., Health Behaviour Research Centre, Department of Epidemiology and Public Health, United States; Yaffe, J., College of Social Work, University of Utah, United States","Background: Randomised controlled trials (RCTs) are used to evaluate social and psychological interventions and inform policy decisions about them. Accurate, complete, and transparent reports of social and psychological intervention RCTs are essential for understanding their design, conduct, results, and the implications of the findings. However, the reporting of RCTs of social and psychological interventions remains suboptimal. The CONSORT Statement has improved the reporting of RCTs in biomedicine. A similar high-quality guideline is needed for the behavioural and social sciences. Our objective was to develop an official extension of the Consolidated Standards of Reporting Trials 2010 Statement (CONSORT 2010) for reporting RCTs of social and psychological interventions: CONSORT-SPI 2018. Methods: We followed best practices in developing the reporting guideline extension. First, we conducted a systematic review of existing reporting guidelines. We then conducted an online Delphi process including 384 international participants. In March 2014, we held a 3-day consensus meeting of 31 experts to determine the content of a checklist specifically targeting social and psychological intervention RCTs. Experts discussed previous research and methodological issues of particular relevance to social and psychological intervention RCTs. They then voted on proposed modifications or extensions of items from CONSORT 2010. Results: The CONSORT-SPI 2018 checklist extends 9 of the 25 items from CONSORT 2010: background and objectives, trial design, participants, interventions, statistical methods, participant flow, baseline data, outcomes and estimation, and funding. In addition, participants added a new item related to stakeholder involvement, and they modified aspects of the flow diagram related to participant recruitment and retention. Conclusions: Authors should use CONSORT-SPI 2018 to improve reporting of their social and psychological intervention RCTs. Journals should revise editorial policies and procedures to require use of reporting guidelines by authors and peer reviewers to produce manuscripts that allow readers to appraise study quality, evaluate the applicability of findings to their contexts, and replicate effective interventions. © 2018 The Author(s).","CONSORT; Randomised controlled trial; Reporting guideline; Reporting standards; Transparency",Article,"Final",Open Access,Scopus,2-s2.0-85050762292
"Grant S., Mayo-Wilson E., Montgomery P., Macdonald G., Michie S., Hopewell S., Moher D., Lawrence Aber J., Altman D., Bhui K., Booth A., Clark D., Craig P., Eisner M., Sherman L., Fraser M.W., Gardner F., Hedges L., Hollon S., Kaplan R., Kaufmann P., Konstantopoulos S., McLeroy K., Mittman B., Nezu A., Sonuga-Barke E., Thomas J., VandenBos G., Waters E., West R., Yaffe J.","55510972800;19337781100;57200902403;23498018000;7004779970;8615807600;56350378600;57203157223;7201380947;7006102085;7201728351;57203631852;35742850500;16479643700;7202031739;7201441258;7103300087;7006567946;7004259165;55584776906;7201922484;6603276858;57204335917;7003558242;7006470014;57201020263;55574208395;7003500006;57203043912;7402395647;6508185130;","CONSORT-SPI 2018 Explanation and Elaboration: Guidance for reporting social and psychological intervention trials",2018,"Trials","19","1", 406,"","",,3,"10.1186/s13063-018-2735-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050756494&doi=10.1186%2fs13063-018-2735-z&partnerID=40&md5=59fd144d965fbc957a717fb9e7300267","Behavioral and Policy Sciences, RAND Corporation, 1776 Main Street, Santa Monica, CA  90407-2138, United States; Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, E6036, Baltimore, MD  21205, United States; School of Social Policy, University of Birmingham, Edgbaston, Birmingham, B15 2TT, United Kingdom; School for Policy Studies, 8 Priory Road, Bristol, BS8 1TZ, United Kingdom; University College London, Department of Clinical, Educational and Health Psychology, Centre for Behaviour Change, London, WC1E 7HB, United Kingdom; University of Oxford, Botnar Research Centre, Oxford Clinical Trials Research Unit, Nuffield Department of Orthopaedics, Rheumatology, and Musculoskeletal Sciences, Windmill Road, Oxford, OX3 7LD, United Kingdom; Centre for Journalology, Clinical Epidemiology Program, Ottawa Hospital Research Institute, Ottawa, ON  K1H 8L6, Canada; Steinhardt School of Culture, Education, and Human Development, New York University, United States; UK EQUATOR Centre, Centre for Statistics in Medicine, University of Oxford, United Kingdom; Wolfson Institute of Preventive Medicine, Queen Mary University of London, United Kingdom; University of Sheffield, United Kingdom; Experimental Psychology, University of Oxford, United Kingdom; MRC/CSO Social and Public Health Sciences Unit, Institute of Health and Wellbeing, University of Glasgow, United Kingdom; Institute of Criminology, University of Cambridge, United Kingdom; School of Social Work, The University of North Carolina at Chapel Hill, United States; Department of Social Policy and Intervention, University of Oxford, United Kingdom; Institute for Policy Research, Northwestern University, United Kingdom; Psychological Sciences, Vanderbilt University, United Kingdom; Oxford Clinical Trials Research Unit, University of Oxford, United Kingdom; Department of Health Policy and Management, Fielding School of Public Health, University of California Los Angeles, United States; Behavioural Medicine and Prevention Research Group, National Heart, Lung, and Blood Institute, National Institutes of Health, United Kingdom; Department of Counselling, Educational Psychology, and Special Education, Michigan State University, United States; School for Policy Studies, University of Bristol, United Kingdom; Division of Clinical Trials and Evidence Synthesis, Department of Epidemiology, Johns Hopkins University, United States; Health Promotion and Community Health Sciences, Texas A and M University, United States; Centre for Behaviour Change, University College London, United States; Department of Research and Evaluation, Division of Health Services Research and Implementation Science, Kaiser Permanente, United States; Ottawa Hospital Research Institute, Canada; Department of Social Work and Social Care, University of Birmingham, United States; Department of Psychology, Drexel University, United States; Institute of Psychiatry, Kings College London, United States; UCL Institute of Education, University College London, United States; American Psychological Association, United States; McCaughey VicHealth Centre for Community Wellbeing, Melbourne School of Population and Global Health, University of Melbourne, Australia; Health Behaviour Research Centre, Department of Epidemiology and Public Health, United States; College of Social Work, University of Utah, United States","Grant, S., Behavioral and Policy Sciences, RAND Corporation, 1776 Main Street, Santa Monica, CA  90407-2138, United States; Mayo-Wilson, E., Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, E6036, Baltimore, MD  21205, United States, Division of Clinical Trials and Evidence Synthesis, Department of Epidemiology, Johns Hopkins University, United States; Montgomery, P., School of Social Policy, University of Birmingham, Edgbaston, Birmingham, B15 2TT, United Kingdom, Department of Social Work and Social Care, University of Birmingham, United States; Macdonald, G., School for Policy Studies, 8 Priory Road, Bristol, BS8 1TZ, United Kingdom, School for Policy Studies, University of Bristol, United Kingdom; Michie, S., University College London, Department of Clinical, Educational and Health Psychology, Centre for Behaviour Change, London, WC1E 7HB, United Kingdom, Centre for Behaviour Change, University College London, United States; Hopewell, S., University of Oxford, Botnar Research Centre, Oxford Clinical Trials Research Unit, Nuffield Department of Orthopaedics, Rheumatology, and Musculoskeletal Sciences, Windmill Road, Oxford, OX3 7LD, United Kingdom, Oxford Clinical Trials Research Unit, University of Oxford, United Kingdom; Moher, D., Centre for Journalology, Clinical Epidemiology Program, Ottawa Hospital Research Institute, Ottawa, ON  K1H 8L6, Canada, Ottawa Hospital Research Institute, Canada; Lawrence Aber, J., Steinhardt School of Culture, Education, and Human Development, New York University, United States; Altman, D., UK EQUATOR Centre, Centre for Statistics in Medicine, University of Oxford, United Kingdom; Bhui, K., Wolfson Institute of Preventive Medicine, Queen Mary University of London, United Kingdom; Booth, A., University of Sheffield, United Kingdom; Clark, D., Experimental Psychology, University of Oxford, United Kingdom; Craig, P., MRC/CSO Social and Public Health Sciences Unit, Institute of Health and Wellbeing, University of Glasgow, United Kingdom; Eisner, M., Institute of Criminology, University of Cambridge, United Kingdom; Sherman, L., Institute of Criminology, University of Cambridge, United Kingdom; Fraser, M.W., School of Social Work, The University of North Carolina at Chapel Hill, United States; Gardner, F., Department of Social Policy and Intervention, University of Oxford, United Kingdom; Hedges, L., Institute for Policy Research, Northwestern University, United Kingdom; Hollon, S., Psychological Sciences, Vanderbilt University, United Kingdom; Kaplan, R., Department of Health Policy and Management, Fielding School of Public Health, University of California Los Angeles, United States; Kaufmann, P., Behavioural Medicine and Prevention Research Group, National Heart, Lung, and Blood Institute, National Institutes of Health, United Kingdom; Konstantopoulos, S., Department of Counselling, Educational Psychology, and Special Education, Michigan State University, United States; McLeroy, K., Health Promotion and Community Health Sciences, Texas A and M University, United States; Mittman, B., Department of Research and Evaluation, Division of Health Services Research and Implementation Science, Kaiser Permanente, United States; Nezu, A., Department of Psychology, Drexel University, United States; Sonuga-Barke, E., Institute of Psychiatry, Kings College London, United States; Thomas, J., UCL Institute of Education, University College London, United States; VandenBos, G., American Psychological Association, United States; Waters, E., McCaughey VicHealth Centre for Community Wellbeing, Melbourne School of Population and Global Health, University of Melbourne, Australia; West, R., Health Behaviour Research Centre, Department of Epidemiology and Public Health, United States; Yaffe, J., College of Social Work, University of Utah, United States","Background: The CONSORT (Consolidated Standards of Reporting Trials) Statement was developed to help biomedical researchers report randomised controlled trials (RCTs) transparently. We have developed an extension to the CONSORT 2010 Statement for social and psychological interventions (CONSORT-SPI 2018) to help behavioural and social scientists report these studies transparently. Methods: Following a systematic review of existing reporting guidelines, we conducted an online Delphi process to prioritise the list of potential items for the CONSORT-SPI 2018 checklist identified from the systematic review. Of 384 international participants, 321 (84%) participated in both rating rounds. We then held a consensus meeting of 31 scientists, journal editors, and research funders (March 2014) to finalise the content of the CONSORT-SPI 2018 checklist and flow diagram. Results: CONSORT-SPI 2018 extends 9 items (14 including sub-items) from the CONSORT 2010 checklist, adds a new item (with 3 sub-items) related to stakeholder involvement in trials, and modifies the CONSORT 2010 flow diagram. This Explanation and Elaboration (E&E) document is a user manual to enhance understanding of CONSORT-SPI 2018. It discusses the meaning and rationale for each checklist item and provides examples of complete and transparent reporting. Conclusions: The CONSORT-SPI 2018 Extension, this E&E document, and the CONSORT website ( www.consort-statement.org ) are helpful resources for improving the reporting of social and psychological intervention RCTs. © 2018 The Author(s).","CONSORT; Randomised controlled trial; Reporting guideline; Reporting standards; Transparency",Article,"Final",Open Access,Scopus,2-s2.0-85050756494
"Toelch U., Ostwald D.","15836133100;22980855400;","Digital open science—Teaching digital tools for reproducible and transparent research",2018,"PLoS Biology","16","7", e2006022,"","",,,"10.1371/journal.pbio.2006022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051297400&doi=10.1371%2fjournal.pbio.2006022&partnerID=40&md5=f9918bfc34aabd6d0fd57082fd040e0c","QUEST Center for Transforming Biomedical Research, Berlin Institute of Health, Berlin, Germany; Biological Psychology und Cognitive Neuroscience, Freie Universität Berlin, Berlin, Germany; Computational Cognitive Neuroscience, Department of Education and Psychology, Freie Universität Berlin, Berlin, Germany; Center for Cognitive Neuroscience Berlin, Freie Universität Berlin, Berlin, Germany; Center for Adaptive Rationality, Max Planck Institute for Human Development, Berlin, Germany","Toelch, U., QUEST Center for Transforming Biomedical Research, Berlin Institute of Health, Berlin, Germany, Biological Psychology und Cognitive Neuroscience, Freie Universität Berlin, Berlin, Germany; Ostwald, D., Computational Cognitive Neuroscience, Department of Education and Psychology, Freie Universität Berlin, Berlin, Germany, Center for Cognitive Neuroscience Berlin, Freie Universität Berlin, Berlin, Germany, Center for Adaptive Rationality, Max Planck Institute for Human Development, Berlin, Germany","An important hallmark of science is the transparency and reproducibility of scientific results. Over the last few years, internet-based technologies have emerged that allow for a representation of the scientific process that goes far beyond traditional methods and analysis descriptions. Using these often freely available tools requires a suite of skills that is not necessarily part of a curriculum in the life sciences. However, funders, journals, and policy makers increasingly require researchers to ensure complete reproducibility of their methods and analyses. To close this gap, we designed an introductory course that guides students towards a reproducible science workflow. Here, we outline the course content and possible extensions, report encountered challenges, and discuss how to integrate such a course in existing curricula. © 2018 Toelch, Ostwald. http://creativecommons.org/licenses/by/4.0/.",,Article,"Final",Open Access,Scopus,2-s2.0-85051297400
"Bourrier S.C., Berman M.G., Enns J.T.","57203099782;14049741100;7005300992;","Cognitive strategies and natural environments interact in influencing executive function",2018,"Frontiers in Psychology","9","JUL", 1248,"","",,1,"10.3389/fpsyg.2018.01248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050482418&doi=10.3389%2ffpsyg.2018.01248&partnerID=40&md5=6703396839a5c96d6a3bda9b0dc611e9","Department of Psychology, University of British Columbia, Vancouver, BC, Canada; Department of Psychology, University of Chicago, Chicago, IL, United States; School of Psychological Science, University of Western Australia, Perth, WA, Australia","Bourrier, S.C., Department of Psychology, University of British Columbia, Vancouver, BC, Canada; Berman, M.G., Department of Psychology, University of Chicago, Chicago, IL, United States; Enns, J.T., Department of Psychology, University of British Columbia, Vancouver, BC, Canada, School of Psychological Science, University of Western Australia, Perth, WA, Australia","Exposure to natural environments and the adoption of specific cognitive strategies are each claimed to have a direct influence on executive mental functioning. Here we manipulate both factors to help determine whether they draw on common cognitive resources. Three experiments investigated links between environmental effects (nature vs. urban video tours) and strategic effects (active vs. passive instructional approaches to the task). Each experiment used a pretest-posttest design and assessed executive mental functioning using a backward digit span task and Raven's progressive matrices. Experiment 1 manipulated participants' cognitive strategy through explicit instructions in order to establish a link between cognitive strategy and executive mental functioning. Experiment 2 used a pair of 10-min video tours (urban, nature) to examine the relationship between environmental exposure and executive mental function on the same tasks, replicating previous findings with the backward digit span task and extended them to a new task (i.e., Raven's progressive matrices). In Experiment 3, these two manipulations were combined to explore the relations between them. The results showed that the nature video tour attenuated the influence of task instructions relative to the urban video tour. An interaction between environmental video exposure and cognitive strategy was found, in that effects of cognitive strategy on executive function were smaller in the nature video condition than in the urban video condition. This suggests that brief exposure to nature had a direct positive influence on executive mental functioning. © 2018 Bourrier, Berman and Enns.","Additive factors logic; Attention restoration theory; Cognitive strategies; Executive functioning; Natural environments; Visual attention",Article,"Final",Open Access,Scopus,2-s2.0-85050482418
"Chitre M.","6603166956;","Editorial on Writing Reproducible and Interactive Papers",2018,"IEEE Journal of Oceanic Engineering","43","3",,"560","562",,,"10.1109/JOE.2018.2848058","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050151045&doi=10.1109%2fJOE.2018.2848058&partnerID=40&md5=14fa2687153b2aae13db770898464a0e",,"Chitre, M.","While most publishers of scientific journals provide online archives of papers, in addition to or as a replacement for printed issues, the versions available online remain static documents. They fail to take advantage of the richness of interactivity that the digital world can offer. The time has come to offer authors, who submit their work for publication in the IEEE JOURNAL OF OCEANIC ENGINEERING, emerging technology options that will allow them to provide a richer experience to readers and to share data and code used in producing their results. Adoption of such technologies will also help in promoting data and code transparency, which is important for addressing growing concerns on reproducibility of research results. As an exercise in developing an interactive publication, this editorial is written as a Jupyter notebook that automatically generates the print version. The notebook can be modified and the results regenerated, if the reader so desires. We walk through the development of this notebook, for readers who wish to adopt this approach in their own writing. © 2018 2018 IEEE.",,Review,"Final",,Scopus,2-s2.0-85050151045
"Druckman J.N., Howat A.J., Mullinix K.J.","6603696960;56919435100;37063497400;","Graduate Advising in Experimental Research Groups",2018,"PS - Political Science and Politics","51","3",,"620","624",,,"10.1017/S1049096518000033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049027799&doi=10.1017%2fS1049096518000033&partnerID=40&md5=16fc99183ab8bc47c7ff1ef7d7540315","Institute for Policy Research, Northwestern University, United States; Appalachian State University, United States","Druckman, J.N., Institute for Policy Research, Northwestern University, United States; Howat, A.J., Institute for Policy Research, Northwestern University, United States; Mullinix, K.J., Appalachian State University, United States","Survey and laboratory experiments are increasingly common in political science. Investment in experimental data collection comes with costs and benefits, particularly for graduate students and advisers. This article describes a set of institutionalized procedures we have adopted with the goal of capitalizing on the advantages that come with experimental research. This includes requiring planning documents, holding research-group meetings, and centralizing data collection. We conclude by discussing the limitations of our approach, ultimately highlighting the need for more disciplinary conversation about how to best structure research groups to produce quality research and advising. © 2018 American Political Science Association.",,Article,"Final",Open Access,Scopus,2-s2.0-85049027799
"Burlig F.","57201692045;","Improving transparency in observational social science research: A pre-analysis plan approach",2018,"Economics Letters","168",,,"56","60",,2,"10.1016/j.econlet.2018.03.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045745107&doi=10.1016%2fj.econlet.2018.03.036&partnerID=40&md5=bb87182407db9856f044f0274d5cd2a4","Department of Economics and Energy Policy Institute, University of Chicago, Saieh Hall for Economics, 5757 S. University Avenue, Chicago, IL  60637, United States","Burlig, F., Department of Economics and Energy Policy Institute, University of Chicago, Saieh Hall for Economics, 5757 S. University Avenue, Chicago, IL  60637, United States","Social science research has undergone a credibility revolution, but these gains are at risk due to problematic research practices. Existing research on transparency has centered around randomized controlled trials, which constitute only a small fraction of research in economics. In this paper, I highlight three scenarios in which study preregistration can be credibly applied in non-experimental settings: cases where researchers collect their own data; prospective studies; and research using restricted-access data. © 2018 Elsevier B.V.","Confidential data; Observational research; Pre-registration; Transparency",Article,"Final",,Scopus,2-s2.0-85045745107
"Robison J., Stevenson R.T., Druckman J.N., Jackman S., Katz J.N., Vavreck L.","56329786700;7402603309;6603696960;7006442086;55697841400;6506385442;","An Audit of Political Behavior Research",2018,"SAGE Open","8","3",,"","",,,"10.1177/2158244018794769","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054474402&doi=10.1177%2f2158244018794769&partnerID=40&md5=bf5f4492ede68f4325d9b1db1700f076","Aarhus University, Denmark; Rice University, Houston, TX, United States; Northwestern University, Evanston, IL, United States; The University of SydneyNSW, Australia; California Institute of Technology, Pasadena, United States; University of California, Los Angeles, United States","Robison, J., Aarhus University, Denmark; Stevenson, R.T., Rice University, Houston, TX, United States; Druckman, J.N., Northwestern University, Evanston, IL, United States; Jackman, S., The University of SydneyNSW, Australia; Katz, J.N., California Institute of Technology, Pasadena, United States; Vavreck, L., University of California, Los Angeles, United States","What are the most important concepts in the political behavior literature? Have experiments supplanted surveys as the dominant method in political behavior research? What role does the American National Election Studies (ANES) play in this literature? We utilize a content analysis of over 1,100 quantitative articles on American mass political behavior published between 1980 and 2009 to address these questions. We then supplement this with a second sample of articles published between 2010 and 2018. Four key takeaways are apparent. First, the agenda of this literature is heavily skewed toward understanding voting to a relative lack of attention to specific policy attitudes and other topics. Second, experiments are ascendant, but are far from displacing surveys, and particularly the ANES. Third, while important changes to this agenda have occurred over time, it remains much the same in 2018 as it was in 1980. Fourth, the centrality of the ANES seems to stem from its time-series component. In the end, we conclude that the ANES is a critical investment for the scientific community and a main driver of political behavior research. © The Author(s) 2018.","American national selection studies; political behavior; political science; public opinion; quantitative political science; social sciences; surveys; voting",Article,"Final",Open Access,Scopus,2-s2.0-85054474402
"Wagenmakers E.-J., Dutilh G., Sarafoglou A.","6602132134;25647354000;57192087152;","The Creativity-Verification Cycle in Psychological Science: New Methods to Combat Old Idols",2018,"Perspectives on Psychological Science","13","4",,"418","427",,1,"10.1177/1745691618771357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049912506&doi=10.1177%2f1745691618771357&partnerID=40&md5=2088a86f7090b732be94eb7da7a52e19","Department of Psychology, University of Amsterdam, Netherlands; Department of Economic Psychology, University of Basel, Switzerland","Wagenmakers, E.-J., Department of Psychology, University of Amsterdam, Netherlands; Dutilh, G., Department of Economic Psychology, University of Basel, Switzerland; Sarafoglou, A., Department of Psychology, University of Amsterdam, Netherlands","Over the years, researchers in psychological science have documented and investigated a host of powerful cognitive fallacies, including hindsight bias and confirmation bias. Researchers themselves may not be immune to these fallacies and may unwittingly adjust their statistical analysis to produce an outcome that is more pleasant or better in line with prior expectations. To shield researchers from the impact of cognitive fallacies, several methodologists are now advocating preregistration—that is, the creation of a detailed analysis plan before data collection or data analysis. One may argue, however, that preregistration is out of touch with academic reality, hampering creativity and impeding scientific progress. We provide a historical overview to show that the interplay between creativity and verification has shaped theories of scientific inquiry throughout the centuries; in the currently dominant theory, creativity and verification operate in succession and enhance one another’s effectiveness. From this perspective, the use of preregistration to safeguard the verification stage will help rather than hinder the generation of fruitful new ideas. © 2018, The Author(s) 2018.","empirical cycle; philosophy of science; preregistration",Article,"Final",,Scopus,2-s2.0-85049912506
"Nave G., Minxha J., Greenberg D.M., Kosinski M., Stillwell D., Rentfrow J.","36761348200;54392206000;54397202300;54915667100;35312763000;23398446400;","Musical Preferences Predict Personality: Evidence From Active Listening and Facebook Likes",2018,"Psychological Science","29","7",,"1145","1158",,2,"10.1177/0956797618761659","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045073580&doi=10.1177%2f0956797618761659&partnerID=40&md5=21a183c6f92ac69b8a70191070273e71","Department of Marketing, The Wharton School of the University of Pennsylvania, United States; Computation & Neural Systems, California Institute of Technology, United States; Department of Psychology, University of Cambridge, United Kingdom; Graduate School of Business, Stanford University, United States; Judge Business School, University of Cambridge, United Kingdom","Nave, G., Department of Marketing, The Wharton School of the University of Pennsylvania, United States; Minxha, J., Computation & Neural Systems, California Institute of Technology, United States; Greenberg, D.M., Department of Psychology, University of Cambridge, United Kingdom; Kosinski, M., Graduate School of Business, Stanford University, United States; Stillwell, D., Judge Business School, University of Cambridge, United Kingdom; Rentfrow, J., Department of Psychology, University of Cambridge, United Kingdom","Research over the past decade has shown that various personality traits are communicated through musical preferences. One limitation of that research is external validity, as most studies have assessed individual differences in musical preferences using self-reports of music-genre preferences. Are personality traits communicated through behavioral manifestations of musical preferences? We addressed this question in two large-scale online studies with demographically diverse populations. Study 1 (N = 22,252) shows that reactions to unfamiliar musical excerpts predicted individual differences in personality—most notably, openness and extraversion—above and beyond demographic characteristics. Moreover, these personality traits were differentially associated with particular music-preference dimensions. The results from Study 2 (N = 21,929) replicated and extended these findings by showing that an active measure of naturally occurring behavior, Facebook Likes for musical artists, also predicted individual differences in personality. In general, our findings establish the robustness and external validity of the links between musical preferences and personality. © The Author(s) 2018.","machine learning; music; online behavior; open data; open materials; personality; prediction",Article,"Final",,Scopus,2-s2.0-85045073580
